seq,datetime_utc,date_utc,time_utc,source_ip,event_name,user_agent,alert_type,token_id,placement,channel,city,region,country,asn,org,infra_type,ua_os,ua_python,ua_boto3,ua_retry_mode,tool_signature,intent_phase,intent_description
24,2026-08-28T08:42:00Z,2026-08-28,08:42,92.157.20.178,GetSendQuota,"Boto3/1.42.65 md/Botocore#1.42.65 ua/2.1 os/windows#10 md/arch#amd64 lang/python#3.9.7 md/pyimpl#CPython m/Z,E,b,e cfg/retry-mode#standard Botocore/1.42.65",ip_triggered,5,terraform.tfvars,email,La Motte-Servolex,Rhône-Alpes,FR,AS3215,Orange S.A.,,windows#10,3.9.7,1.42.65,standard,,abuse-prep,Checks the SES email sending quota - precursor to spam/phishing from the account
25,2026-08-28T08:43:00Z,2026-08-28,08:43,191.101.121.117,InvokeModel,"Boto3/1.43.80 md/Botocore#1.43.80 ua/2.1 os/linux#6.12.43+deb13-amd64 md/arch#x86_64 lang/python#3.13.5 md/pyimpl#CPython m/Z,e,b,D cfg/retry-mode#legacy Botocore/1.43.80",ip_triggered,5,terraform.tfvars,email,Zürich,Zurich,CH,AS264617,GRUPO PANAGLOBAL 15 S.A,,linux#6.12.43+deb13-amd64,3.13.5,1.43.80,legacy,,resource-abuse,Attempts to run AI models on AWS Bedrock at the victim's expense (LLMjacking)
26,2026-08-28T08:45:00Z,2026-08-28,08:45,198.44.58.206,ListSecrets,"Boto3/1.43.80 md/Botocore#1.43.80 ua/2.1 os/linux#6.12.43+deb13-amd64 md/arch#x86_64 lang/python#3.13.5 md/pyimpl#CPython m/Z,e,D,b cfg/retry-mode#legacy Botocore/1.43.80",ip_triggered,5,terraform.tfvars,email,Los Angeles,California,US,AS36352,HostPapa,,linux#6.12.43+deb13-amd64,3.13.5,1.43.80,legacy,,reconnaissance,"Enumerates AWS Secrets Manager entries, hunting for further stored credentials to escalate with"
27,2026-08-28T09:08:00Z,2026-08-28,09:08,94.177.49.108,GetCallerIdentity,"Boto3/1.43.80 md/Botocore#1.43.80 ua/2.1 os/linux#6.12.43+deb13-amd64 md/arch#x86_64 lang/python#3.13.5 md/pyimpl#CPython m/b,D,Z,e cfg/retry-mode#legacy Botocore/1.43.80",ip_triggered,5,terraform.tfvars,email,Milan,Lombardy,IT,AS64445,NetJoin srl,,linux#6.12.43+deb13-amd64,3.13.5,1.43.80,legacy,,validation,Confirms the stolen key is live and reveals which account/identity it belongs to
28,2026-08-28T09:18:00Z,2026-08-28,09:18,151.245.207.25,ListFoundationModels,"Boto3/1.43.80 md/Botocore#1.43.80 ua/2.1 os/linux#6.12.43+deb13-amd64 md/arch#x86_64 lang/python#3.13.5 md/pyimpl#CPython m/e,Z,D,b cfg/retry-mode#legacy Botocore/1.43.80",ip_triggered,5,terraform.tfvars,email,London,England,GB,AS2856,British Telecommunications Limited,residential/ISP,linux#6.12.43+deb13-amd64,3.13.5,1.43.80,legacy,,abuse-prep,Enumerates which Bedrock foundation models the account can reach - precursor to LLMjacking
29,2026-08-28T09:29:00Z,2026-08-28,09:29,197.57.31.248,GetCallerIdentity,"Boto3/1.40.61 md/Botocore#1.40.61 ua/2.1 os/windows#11 md/arch#amd64 lang/python#3.14.0 md/pyimpl#CPython m/b,E,e,Z cfg/retry-mode#standard Botocore/1.40.61",ip_triggered,4,settings.yaml,email,Cairo,Cairo,EG,AS8452,TE-AS,,windows#11,3.14.0,1.40.61,standard,,validation,Confirms the stolen key is live and reveals which account/identity it belongs to
30,2026-08-28T09:31:00Z,2026-08-28,09:31,31.56.138.192,GetCallerIdentity,"Boto3/1.43.80 md/Botocore#1.43.80 ua/2.1 os/linux#6.12.43+deb13-amd64 md/arch#x86_64 lang/python#3.13.5 md/pyimpl#CPython m/D,b,e,Z cfg/retry-mode#legacy Botocore/1.43.80",ip_triggered,5,terraform.tfvars,email,Frankfurt am Main,Hesse,DE,AS28753,Leaseweb Deutschland GmbH,datacenter VPS,linux#6.12.43+deb13-amd64,3.13.5,1.43.80,legacy,,validation,Confirms the stolen key is live and reveals which account/identity it belongs to
31,2026-08-28T09:31:00Z,2026-08-28,09:31,197.57.31.248,ListRoles,"Boto3/1.40.61 md/Botocore#1.40.61 ua/2.1 os/windows#11 md/arch#amd64 lang/python#3.14.0 md/pyimpl#CPython m/b,e,E,Z,C cfg/retry-mode#standard Botocore/1.40.61",ip_triggered,4,settings.yaml,email,Cairo,Cairo,EG,AS8452,TE-AS,,windows#11,3.14.0,1.40.61,standard,,reconnaissance,"Enumerates the account's identity, permissions, roles, regions or limits"
32,2026-08-28T09:32:00Z,2026-08-28,09:32,82.22.249.134,ListUserPolicies,"Boto3/1.43.80 md/Botocore#1.43.80 ua/2.1 os/linux#6.12.43+deb13-amd64 md/arch#x86_64 lang/python#3.13.5 md/pyimpl#CPython m/e,Z,D,b cfg/retry-mode#legacy Botocore/1.43.80",ip_triggered,5,terraform.tfvars,email,Helsinki,Uusimaa,FI,AS51765,Oy Creanova Hosting Solutions Ltd.,datacenter VPS,linux#6.12.43+deb13-amd64,3.13.5,1.43.80,legacy,,reconnaissance,"Enumerates the account's identity, permissions, roles, regions or limits"
33,2026-08-28T09:33:00Z,2026-08-28,09:33,197.57.31.248,ListFunctions20150331,"Boto3/1.40.61 md/Botocore#1.40.61 ua/2.1 os/windows#11 md/arch#amd64 lang/python#3.14.0 md/pyimpl#CPython m/b,E,e,Z cfg/retry-mode#standard Botocore/1.40.61",ip_triggered,4,settings.yaml,email,Cairo,Cairo,EG,AS8452,TE-AS,,windows#11,3.14.0,1.40.61,standard,,reconnaissance,Enumerates the account's Lambda functions (the 20150331 API version of ListFunctions)
34,2026-08-28T09:34:00Z,2026-08-28,09:34,197.57.31.248,GetSendQuota,"Boto3/1.40.61 md/Botocore#1.40.61 ua/2.1 os/windows#11 md/arch#amd64 lang/python#3.14.0 md/pyimpl#CPython m/b,e,Z cfg/retry-mode#standard Botocore/1.40.61",ip_triggered,4,settings.yaml,email,Cairo,Cairo,EG,AS8452,TE-AS,,windows#11,3.14.0,1.40.61,standard,,abuse-prep,Checks the SES email sending quota - precursor to spam/phishing from the account
35,2026-08-28T09:35:00Z,2026-08-28,09:35,197.57.31.248,GetSendQuota,"Boto3/1.40.61 md/Botocore#1.40.61 ua/2.1 os/windows#11 md/arch#amd64 lang/python#3.14.0 md/pyimpl#CPython m/b,E,e,Z cfg/retry-mode#standard Botocore/1.40.61",ip_triggered,4,settings.yaml,email,Cairo,Cairo,EG,AS8452,TE-AS,,windows#11,3.14.0,1.40.61,standard,,abuse-prep,Checks the SES email sending quota - precursor to spam/phishing from the account
36,2026-08-28T09:44:00Z,2026-08-28,09:44,192.241.104.43,GetCallerIdentity,"Boto3/1.43.80 md/Botocore#1.43.80 ua/2.1 os/linux#6.12.43+deb13-amd64 md/arch#x86_64 lang/python#3.13.5 md/pyimpl#CPython m/b,D,e,Z cfg/retry-mode#legacy Botocore/1.43.80",ip_triggered,5,terraform.tfvars,email,Los Angeles,California,US,AS55286,B2 Net Solutions Inc.,,linux#6.12.43+deb13-amd64,3.13.5,1.43.80,legacy,,validation,Confirms the stolen key is live and reveals which account/identity it belongs to
